Klucz,Prawdopodobieństwo awarii,Koszt naprawy awarii,Czas naprawy [godz.],Moc zamówiona na wyłączonym obszarze [MW],Moc rzeczywista,Koszt niesprzedania ciepła,Całkowity koszt awarii,Ryzyko
22203,0.19,12426.3,8.5,14.7,14.7,18751.6,31177.9,5931.7
112696,0.079,12426.3,8.5,14.7,14.7,18751.6,31177.9,2471.9
23173,0.112,13393.6,8.5,6.3,6.3,8051.5,21445.0,2396.2
22215,0.074,12426.3,8.5,14.7,14.7,18751.6,31177.9,2307.4
23907,0.071,12426.3,8.5,14.7,14.7,18751.6,31177.9,2226.9
22335,0.071,13089.3,8.5,12.6,12.6,16002.6,29091.9,2072.1
99791,0.085,9830.4,8.5,10.9,10.9,13914.3,23744.7,2024.4
22227,0.058,12347.9,8.5,17.4,17.4,22158.7,34506.6,1995.4
23291,0.019,6629.2,8.5,74.8,74.8,95063.7,101692.9,1956.3
23001,0.064,12426.3,8.5,14.0,14.0,17759.0,30185.3,1940.9
111083,0.056,12347.9,8.5,17.3,17.3,21975.9,34323.8,1921.7
23021,0.081,13700.4,8.5,7.7,7.7,9762.3,23462.7,1908.7
22195,0.055,12347.9,8.5,17.3,17.3,21975.9,34323.8,1903.5
22813,0.049,7615.0,8.5,24.8,24.8,31483.3,39098.2,1900.7
22769,0.048,7615.0,8.5,24.8,24.8,31483.3,39098.2,1875.4
22833,0.048,7615.0,8.5,24.8,24.8,31483.3,39098.2,1871.8
22207,0.059,12426.3,8.5,15.1,15.1,19178.9,31605.2,1862.6
22897,0.025,6671.3,8.5,54.2,54.2,68976.8,75648.2,1862.0
22483,0.025,6671.3,8.5,54.2,54.2,68976.8,75648.2,1854.7
22211,0.058,12426.3,8.5,15.1,15.1,19178.9,31605.2,1848.5
22327,0.057,13006.8,8.5,15.4,15.4,19537.4,32544.2,1848.3
23205,0.074,9830.4,8.5,11.6,11.6,14737.5,24567.9,1825.9
23253,0.068,9768.4,8.5,13.4,13.4,17027.2,26795.6,1812.5
69749,0.061,12522.5,8.5,13.3,13.3,16910.2,29432.7,1807.1
22191,0.038,7705.0,8.5,31.3,31.3,39792.5,47497.5,1795.6
27519,0.063,15055.1,8.5,10.3,10.3,13149.9,28205.0,1787.3
22307,0.055,12443.5,8.5,15.4,15.4,19537.4,31981.0,1755.5
96513,0.073,13700.4,8.5,7.7,7.7,9829.0,23529.4,1728.1
22705,0.065,12205.8,8.5,11.1,11.1,14168.9,26374.7,1710.3
25199,0.073,15681.9,8.5,6.1,6.1,7804.2,23486.1,1709.9
135346,0.053,5494.0,8.5,20.8,20.8,26481.7,31975.7,1699.1
25683,0.07,15561.0,8.5,6.1,6.1,7797.6,23358.6,1637.8
22953,0.049,12474.1,8.5,16.2,16.2,20562.8,33036.9,1624.7
22909,0.022,6738.6,8.5,53.2,53.2,67651.0,74389.6,1606.4
25691,0.068,15608.1,8.5,6.2,6.2,7924.4,23532.5,1589.2
23197,0.066,9768.4,8.5,10.8,10.8,13773.0,23541.3,1554.7
23903,0.032,7705.0,8.5,32.0,32.0,40727.3,48432.3,1550.3
22929,0.058,12011.8,8.5,11.1,11.1,14168.9,26180.6,1524.4
